element,opponent_team_name,total_points,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded
9,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Newcastle,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,West Ham,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Fulham,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Crystal Palace,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Burnley,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Sunderland,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Spurs,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
9,Chelsea,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
10,Man Utd,0,1,18,0,0,0,0,0,0,0,1,0,0,0,-1,1,0,0,1,0,0.00,0.00,0.00,0.66
10,Leeds,1,2,26,0,0,0,0,0,0,0,0,0,0,0,7,0,2,1,1,0,0.00,0.00,0.00,0.00
10,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
10,Nott'm Forest,1,4,22,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0.00,0.00,0.00,0.10
10,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
10,Newcastle,1,6,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0.00,0.00,0.00,0.04
10,West Ham,1,7,15,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,0,0.00,0.00,0.00,0.13
10,Fulham,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
10,Crystal Palace,1,9,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0.00,0.00,0.00,0.01
10,Burnley,1,10,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0.00,0.00,0.00,0.05
10,Sunderland,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
10,Spurs,1,12,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.00,0.00,0.00,0.00
10,Chelsea,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
11,Man Utd,6,1,70,0,0,1,0,0,0,0,0,0,0,0,23,6,4,2,8,1,0.01,0.01,0.02,0.87
11,Leeds,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
11,Liverpool,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
11,Nott'm Forest,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
11,Man City,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00
